Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C)
Lethbridge Demo Farm IMCIN,2-May-23,3.8,25.7,16
Lethbridge Demo Farm IMCIN,3-May-23,5.2,27.9,17.5
Lethbridge Demo Farm IMCIN,4-May-23,6.7,29.4,18.3
Lethbridge Demo Farm IMCIN,5-May-23,7.6,26.8,17.5
Lethbridge Demo Farm IMCIN,6-May-23,7.2,14,9.6
Lethbridge Demo Farm IMCIN,7-May-23,6.9,16.7,10.5
Lethbridge Demo Farm IMCIN,8-May-23,4.7,20.8,12.6
Lethbridge Demo Farm IMCIN,9-May-23,3.4,19,11.4
Lethbridge Demo Farm IMCIN,10-May-23,6.9,18.8,12.5
Lethbridge Demo Farm IMCIN,11-May-23,7.2,19.1,12.7
Lethbridge Demo Farm IMCIN,12-May-23,4.2,21.5,13.9
Lethbridge Demo Farm IMCIN,13-May-23,5.2,23.1,14.7
Lethbridge Demo Farm IMCIN,14-May-23,4.7,22.5,14.8
Lethbridge Demo Farm IMCIN,15-May-23,8.5,28.2,18.7
Lethbridge Demo Farm IMCIN,16-May-23,12.4,24.1,18.4
Lethbridge Demo Farm IMCIN,17-May-23,7.2,20.6,14.3
Lethbridge Demo Farm IMCIN,18-May-23,2.2,19.6,12.1
Lethbridge Demo Farm IMCIN,19-May-23,5.9,31.3,20.3
Lethbridge Demo Farm IMCIN,20-May-23,9.9,29.1,20.2
Lethbridge Demo Farm IMCIN,21-May-23,11,31.7,21.8
Lethbridge Demo Farm IMCIN,22-May-23,11.9,24.3,18.3
Lethbridge Demo Farm IMCIN,23-May-23,7.6,23.4,15.8
Lethbridge Demo Farm IMCIN,24-May-23,9.7,20.6,14.8
Lethbridge Demo Farm IMCIN,25-May-23,8.9,20,15.2
Lethbridge Demo Farm IMCIN,26-May-23,9.9,21.6,15.8
Lethbridge Demo Farm IMCIN,27-May-23,10.3,17,14.2
Lethbridge Demo Farm IMCIN,28-May-23,8,25.6,16.8
Lethbridge Demo Farm IMCIN,29-May-23,13.7,27.7,20.3
Lethbridge Demo Farm IMCIN,30-May-23,10.7,27.9,20.5
Lethbridge Demo Farm IMCIN,31-May-23,8.6,25,17.7
Lethbridge Demo Farm IMCIN,1-Jun-23,9.9,16,14
Lethbridge Demo Farm IMCIN,2-Jun-23,6.9,21.5,14.7
Lethbridge Demo Farm IMCIN,3-Jun-23,12.6,18.9,15.1
Lethbridge Demo Farm IMCIN,4-Jun-23,8.2,29.3,19.4
Lethbridge Demo Farm IMCIN,5-Jun-23,10.3,29.4,20.4
Lethbridge Demo Farm IMCIN,6-Jun-23,11.9,20.6,16
Lethbridge Demo Farm IMCIN,7-Jun-23,7.9,29.6,20
Lethbridge Demo Farm IMCIN,8-Jun-23,12.5,29.2,21.2
Lethbridge Demo Farm IMCIN,9-Jun-23,15.3,23.6,18.2
Lethbridge Demo Farm IMCIN,10-Jun-23,15.1,25.9,19.3
Lethbridge Demo Farm IMCIN,11-Jun-23,13.3,27.6,20.7
Lethbridge Demo Farm IMCIN,12-Jun-23,14.4,27.7,21
Lethbridge Demo Farm IMCIN,13-Jun-23,12.8,29.6,21.8
Lethbridge Demo Farm IMCIN,14-Jun-23,8.9,20.2,14.7
Lethbridge Demo Farm IMCIN,15-Jun-23,7.8,18.9,13.1
Lethbridge Demo Farm IMCIN,16-Jun-23,8.2,24.4,17.1
Lethbridge Demo Farm IMCIN,17-Jun-23,13.8,24.3,18.7
Lethbridge Demo Farm IMCIN,18-Jun-23,9.2,19.3,14
Lethbridge Demo Farm IMCIN,19-Jun-23,6.7,17.9,12.7
Lethbridge Demo Farm IMCIN,20-Jun-23,5.1,15.2,9.9
Lethbridge Demo Farm IMCIN,21-Jun-23,5.7,18.2,11.9
Lethbridge Demo Farm IMCIN,22-Jun-23,2.9,23.1,14.3
Lethbridge Demo Farm IMCIN,23-Jun-23,4.6,25.2,16
Lethbridge Demo Farm IMCIN,24-Jun-23,8.4,26.7,17.5
Lethbridge Demo Farm IMCIN,25-Jun-23,8.7,26.5,18.4
