Plot Title: 2022 LC26 A,,,,,,,
#,"Date Time, GMT-06:00","Cum. Sum: Rainfall(per day), mm (LGR S/N: 10918443)",Coupler Detached (LGR S/N: 10918443),Coupler Attached (LGR S/N: 10918443),Host Connected (LGR S/N: 10918443),Stopped (LGR S/N: 10918443),End Of File (LGR S/N: 10918443)
1,5/25/2022 0:00,4,,,,,
2,5/25/2022 11:00,,Logged,,,,
3,5/26/2022 0:00,1.2,,,,,
4,5/27/2022 0:00,1.2,,,,,
5,5/28/2022 0:00,3.2,,,,,
6,5/29/2022 0:00,0,,,,,
7,5/30/2022 0:00,0,,,,,
8,5/31/2022 0:00,0,,,,,
9,6/1/2022 0:00,0,,,,,
10,6/2/2022 0:00,0,,,,,
11,6/3/2022 0:00,0,,,,,
12,6/4/2022 0:00,0,,,,,
13,6/5/2022 0:00,0,,,,,
14,6/6/2022 0:00,0,,,,,
15,6/7/2022 0:00,0,,,,,
16,6/8/2022 0:00,0,,,,,
17,6/9/2022 0:00,0.4,,,,,
18,6/10/2022 0:00,1.8,,,,,
19,6/11/2022 0:00,1.8,,,,,
20,6/12/2022 0:00,0.2,,,,,
21,6/13/2022 0:00,6.8,,,,,
22,6/14/2022 0:00,25.6,,,,,
23,6/15/2022 0:00,14.4,,,,,
24,6/16/2022 0:00,0,,,,,
25,6/17/2022 0:00,0.4,,,,,
26,6/18/2022 0:00,2.6,,,,,
27,6/19/2022 0:00,0,,,,,
28,6/20/2022 0:00,0,,,,,
29,6/21/2022 0:00,3,,,,,
30,6/22/2022 0:00,2,,,,,
31,6/23/2022 0:00,29,,,,,
32,6/24/2022 0:00,22,,,,,
33,6/25/2022 0:00,0,,,,,
34,6/26/2022 0:00,0,,,,,
35,6/27/2022 0:00,0,,,,,
36,6/28/2022 0:00,0,,,,,
37,6/29/2022 0:00,19.8,,,,,
38,6/30/2022 0:00,0,,,,,
39,7/1/2022 0:00,1,,,,,
40,7/2/2022 0:00,5.4,,,,,
41,7/3/2022 0:00,0.2,,,,,
42,7/4/2022 0:00,0,,,,,
43,7/5/2022 0:00,3.8,,,,,
44,7/6/2022 0:00,0,,,,,
45,7/7/2022 0:00,0.4,,,,,
46,7/8/2022 0:00,0,,,,,
47,7/9/2022 0:00,5.8,,,,,
48,7/10/2022 0:00,0,,,,,
49,7/11/2022 0:00,0,,,,,
50,7/12/2022 0:00,0,,,,,
51,7/13/2022 0:00,0,,,,,
52,7/14/2022 0:00,0,,,,,
53,7/15/2022 0:00,0,,,,,
54,7/16/2022 0:00,0.2,,,,,
55,7/17/2022 0:00,4.4,,,,,
56,7/18/2022 0:00,0,,,,,
57,7/19/2022 0:00,2.6,,,,,
58,7/20/2022 0:00,0.2,,,,,
59,7/21/2022 0:00,0,,,,,
60,7/22/2022 0:00,0,,,,,
61,7/23/2022 0:00,0,,,,,
