,HC Air temperature [°C],,,Dew Point [°C],,Solar radiation [W/m2],VPD [kPa],,HC Relative humidity [%],,,Precipitation [mm],Leaf Wetness [min],U-sonic wind speed [m/s],,Wind gust [m/s],U-sonic wind dir [deg],Soil Moisture 1 [%],Soil Moisture 2 [%],Soil Moisture 3 [%],Soil Moisture 4 [%],Soil Moisture 5 [%],Soil Moisture 6 [%],Soil temperature 1 [°C],,,Soil temperature 2 [°C],,,Soil temperature 3 [°C],,,Soil temperature 4 [°C],,,Soil temperature 5 [°C],,,Soil temperature 6 [°C],,,Solar Panel [mV],Battery [mV],DeltaT [°C],,,Sunshine duration [min],
Date/Time,avg,max,min,avg,min,avg,avg,min,avg,max,min,sum,time,avg,max,max,last,avg,avg,avg,avg,avg,avg,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min,last,last,avg,max,min,time,ET0 [mm]
8/31/2023 0:00,17.98,24.9,11.7,15.9,11.6,146,0.28,0,89.38,100,66.99,0,0,3.9,6.2,9.2,245,22.34,23.7,30.56,32.87,31.69,30.41,20.6,25.1,17.8,19.8,21.2,18.6,19.6,20.5,19,19,19.4,18.7,18.6,18.8,18.5,18.3,18.3,18.1,0,6562,1,4,0,550,
8/30/2023 0:00,19.6,28.03,11.1,14.5,11,163,0.7,0,75.73,100,45.99,0,0,1.9,4.3,8,234,22.72,23.83,30.62,32.88,31.67,30.35,21.3,26.5,17.4,20.2,21.8,18.6,19.8,20.6,19,18.9,19.3,18.6,18.4,18.6,18.2,18,18.1,17.7,0,6559,3,8,0,520,3.2
8/29/2023 0:00,20.07,31.84,8.67,13.1,8.6,223,1.09,0,72.12,99.98,28.41,0,0,2,4.2,6.8,220,23.25,23.87,30.55,32.75,31.54,30.22,21.3,28.4,15.8,19.7,22.5,17.3,19.2,20.6,18,18.2,19.1,0,17.8,18.2,0,17.4,17.7,0,0,6545,4,13,0,600,4.7
8/28/2023 0:00,19.58,29.69,9.84,13.8,9.8,227,0.87,0,75.85,100,36.49,0,0,2.7,4.3,6.3,242,23.75,23.86,30.45,32.62,31.44,30.11,20.2,26.5,15.1,18.7,21.3,16.5,18.3,19.8,17.3,17.6,18.4,17.1,17.3,17.6,17.1,17.1,17.2,17,0,6420,4,10,0,620,4.6
8/27/2023 0:00,17.01,24.93,10.75,14.6,10.7,145,0.31,0,88.14,100,56.25,0,0,2.9,4.8,5.7,228,23.94,23.88,30.43,32.59,31.39,30.02,18.9,23.7,15.1,18,19.8,16.5,17.9,18.8,17.1,17.3,17.7,0,17,17.2,0,16.8,17,0,0,6565,1,6,0,645,2.9
8/26/2023 0:00,16.73,26.44,6,12,5.9,243,0.64,0,78.56,100,40.29,0,0,2.3,3.8,6.4,238,24.61,23.92,30.36,32.49,31.29,29.86,18.7,25.1,13.1,17.4,20.1,15.1,17.2,18.7,16.1,16.7,17.5,16.3,16.6,16.9,16.4,16.6,16.6,16.5,0,6571,3,9,0,640,4.1
8/25/2023 0:00,14.37,21.86,6.14,11.4,6.1,215,0.34,0,85.21,100,53.16,0.2,185,2.4,4.8,6.4,213,25.23,23.96,30.34,32.44,31.2,29.65,17.4,23.5,13,16.5,19,14.6,16.5,17.9,15.6,16.3,17,15.9,16.4,16.6,16.1,16.5,16.6,16.4,0,6565,2,6,0,580,3.1
8/24/2023 0:00,13.05,18.87,8.26,12.2,8.2,109,0.08,0,95.77,100,74.2,1.4,825,3.8,6.1,9.3,246,25.94,24.3,30.47,32.49,30.92,29.29,16.2,19.3,0,16.2,17.5,0,16.7,17.8,0,16.6,17.3,0,16.7,17.1,0,16.8,17,0,0,6573,0,3,0,535,1.7
8/23/2023 0:00,15.13,18.86,11.37,14,11.3,98,0.12,0,94.03,100,76.56,22.6,70,1.9,7.5,11.4,207,23.33,23.7,30.12,32.13,30.5,29.2,18,21,0,17.4,18.5,0,17.4,17.9,0,16.9,17.3,0,16.8,17,0,16.8,17,0,0,6568,1,3,0,460,1.6
