Vermilion Weather Data 2022,,,,,,,
Township,Date,Air Temp. Avg. (°C),Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Relative Humidity Avg. (%)
T050R06W4,5/25/2022,13.14,5.21,21.07,0.3,0.3,66.83
T050R06W4,5/26/2022,13.305,5.58,21.03,1.01,1.31,64.31
T050R06W4,5/27/2022,13.86,7.82,19.9,1.31,2.62,63.88
T050R06W4,5/28/2022,14.27,8.53,20.01,4.84,7.46,69.98
T050R06W4,5/29/2022,12.09,4.38,19.8,0,7.46,64.12
T050R06W4,5/30/2022,12.315,6.96,17.67,0,7.46,54.06
T050R06W4,5/31/2022,11.09,2.72,19.46,0,7.46,43.29
T050R06W4,6/1/2022,10.98,2.47,19.49,0,7.46,42.84
T050R06W4,6/2/2022,11.975,2.9,21.05,0,7.46,41.74
T050R06W4,6/3/2022,12.75,2.17,23.33,0,7.46,45.4
T050R06W4,6/4/2022,16.335,7.48,25.19,0,7.46,33.95
T050R06W4,6/5/2022,15.7,9.43,21.97,0,7.46,39.73
T050R06W4,6/6/2022,12.94,8.66,17.22,0,7.46,51.54
T050R06W4,6/7/2022,15.095,8.17,22.02,0,7.46,40.54
T050R06W4,6/8/2022,17.23,10.63,23.83,0,7.46,43.23
T050R06W4,6/9/2022,18.05,11.57,24.53,1.1,8.56,58
T050R06W4,6/10/2022,15.42,9.27,21.57,2,10.56,66.62
T050R06W4,6/11/2022,13.965,5.55,22.38,0.4,10.96,68.65
T050R06W4,6/12/2022,14.885,6.98,22.79,0,10.96,66.2
T050R06W4,6/13/2022,14.77,6.66,22.88,6.21,17.17,76.54
T050R06W4,6/14/2022,15.425,11.91,18.94,31.23,48.4,90.24
T050R06W4,6/15/2022,14.78,12.4,17.16,18.82,67.22,89.26
T050R06W4,6/16/2022,15.955,11.53,20.38,0,67.22,75.6
T050R06W4,6/17/2022,17.42,12.14,22.7,0.2,67.42,82.11
T050R06W4,6/18/2022,19.355,14.2,24.51,2.8,70.22,87.16
T050R06W4,6/19/2022,16.305,10.43,22.18,0,70.22,76.93
T050R06W4,6/20/2022,17.04,12.69,21.39,0,70.22,78.99
T050R06W4,6/21/2022,17.165,11.04,23.29,0.7,70.92,72.67
T050R06W4,6/22/2022,16.91,11.19,22.63,2.3,73.22,80.48
T050R06W4,6/23/2022,14.65,9.38,19.92,17.21,90.43,87.05
T050R06W4,6/24/2022,12.47,8.61,16.33,21.52,111.95,84.81
T050R06W4,6/25/2022,15.58,9.68,21.48,0,111.95,68.74
T050R06W4,6/26/2022,16.85,8.27,25.43,0.1,112.05,63.7
T050R06W4,6/27/2022,13.915,9.42,18.41,0.1,112.15,81.81
T050R06W4,6/28/2022,13.275,5.53,21.02,0,112.15,72.47
T050R06W4,6/29/2022,15.58,11.93,19.23,11.31,123.46,91.67
T050R06W4,6/30/2022,14.9,8.78,21.02,0,123.46,76.84
T050R06W4,7/1/2022,14.625,8.66,20.59,0.51,123.97,88.71
T050R06W4,7/2/2022,12.87,9.39,16.35,4.04,128.01,91.84
T050R06W4,7/3/2022,14.725,7.96,21.49,0.1,128.11,75.95
T050R06W4,7/4/2022,15.75,8.58,22.92,0,128.11,76.36
T050R06W4,7/5/2022,14.76,13.63,15.89,3.03,131.14,93.6
T050R06W4,7/6/2022,15.61,11.1,20.12,0,131.14,86.8
T050R06W4,7/7/2022,16.035,9.45,22.62,0.71,131.85,82.04
T050R06W4,7/8/2022,18.93,14.31,23.55,0.1,131.95,94.65
T050R06W4,7/9/2022,18.39,12.66,24.12,3.94,135.89,77.87
T050R06W4,7/10/2022,16.185,10.28,22.09,0.2,136.09,74.68
T050R06W4,7/11/2022,17.29,10.06,24.52,0,136.09,73.49
T050R06W4,7/12/2022,20.38,11.85,28.91,0,136.09,69.38
T050R06W4,7/13/2022,17.355,10.67,24.04,0.1,136.19,75.41
T050R06W4,7/14/2022,16.38,6.6,26.16,0,136.19,69.96
T050R06W4,7/15/2022,19.36,8.67,30.05,0,136.19,75.41
T050R06W4,7/16/2022,20.965,12.98,28.95,0,136.19,81.87
T050R06W4,7/17/2022,20.205,14.68,25.73,4.04,140.23,85.14
T050R06W4,7/18/2022,17.945,9.39,26.5,0,140.23,82.48
T050R06W4,7/19/2022,18.72,11.93,25.51,3.84,144.07,74.46
T050R06W4,7/20/2022,16.8,9.8,23.8,0,144.07,72.88
T050R06W4,7/21/2022,18.23,10.27,26.19,0,144.07,68.75
T050R06W4,7/22/2022,16.875,11.89,21.86,0.2,144.27,69.2
T050R06W4,7/23/2022,14.27,5.93,22.61,0,144.27,76.25
T050R06W4,7/24/2022,18.88,11.64,26.12,0,144.27,73.13
T050R06W4,7/25/2022,16.295,11.88,20.71,1.42,145.69,88.14
T050R06W4,7/26/2022,17.595,11.03,24.16,0,145.69,67.17
T050R06W4,7/27/2022,18.025,7.54,28.51,0,145.69,66.24
T050R06W4,7/28/2022,20.81,11.52,30.1,0,145.69,67.06
T050R06W4,7/29/2022,21.225,12.91,29.54,6.87,152.56,78.7
T050R06W4,7/30/2022,20.085,14.68,25.49,14.15,166.71,86.41
T050R06W4,7/31/2022,15.545,11.37,19.72,6.67,173.38,96.72
T050R06W4,8/1/2022,17.59,11.55,23.63,25.29,198.67,89.61
T050R06W4,8/2/2022,14.745,10.26,19.23,3.78,202.45,97.32
T050R06W4,8/3/2022,13.54,7.31,19.77,0.2,202.65,97.07
T050R06W4,8/4/2022,16.445,12.57,20.32,1.89,204.54,92.82
T050R06W4,8/5/2022,12.985,8.5,17.47,4.38,208.92,87.34
T050R06W4,8/6/2022,14.175,5.68,22.67,0,208.92,75.55
T050R06W4,8/7/2022,20.58,14.32,26.84,0.2,209.12,72.01
T050R06W4,8/8/2022,16.57,9.53,23.61,0.1,209.22,71.92
T050R06W4,8/9/2022,14.62,6.87,22.37,0,209.22,72.33
T050R06W4,8/10/2022,17.62,9.99,25.25,0,209.22,73.97
