,24-May,,,,,,24-Jun,,,,,,24-Jul,,,,,,24-Aug,,,,,,24-Sep,,,,
Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Relative Humidity Avg. (%),Precip. (mm),,Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Relative Humidity Avg. (%),Precip. (mm),,Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Relative Humidity Avg. (%),Precip. (mm),,Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Relative Humidity Avg. (%),Precip. (mm),,Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Relative Humidity Avg. (%),Precip. (mm)
1,2.8,11.2,6.4,79.8,5.1,,5.9,20.5,13.6,48.8,0,,10.4,24,16.6,82.1,7.6,,10,27.5,19,66.6,0,,8.3,31,19.2,62.6,0
2,1,3.3,2,81.9,0.6,,5.5,19.7,13.2,52.1,0,,12.5,22.5,16.7,75.3,0.8,,10.4,25.5,18.8,54.7,0.1,,7.2,34,20.5,61.7,0
3,-0.3,7.1,3,80.4,0.3,,9.9,14.3,11.9,77.5,4.2,,11.2,22.8,16.2,85.8,6.4,,10.1,26.8,17.7,63.3,0,,10.9,24.5,18.4,72.7,7
4,-0.2,11.9,5.4,70.9,0,,9.5,15.7,12.2,90,7.5,,11.5,23.9,17.8,78.1,0,,7.9,25.7,18.1,66.6,0.2,,6.7,18.8,13.3,75.3,0.2
5,0.6,17.8,9.9,56.3,0,,7.5,19.3,12.9,62,0.1,,11.7,25.4,18.7,63.7,0,,12.8,18,14.8,93.4,16.6,,2.9,24,13.6,67.6,0
6,8.4,16.3,10.7,78,1.8,,6.2,19.6,13.4,44.2,0,,10.3,26.3,17.9,68.6,1.7,,12.6,21.4,15.9,78.9,0.4,,8.3,32.6,18.6,59.2,0
7,7.9,9.6,8.9,97.5,43,,6.2,20.5,12.7,51.9,0,,9.8,26.4,19,66.9,0,,8.7,21.5,15.8,71.1,0.1,,7.1,30.6,18.1,64.6,0.1
8,6.3,17.2,10.9,69.8,0,,3.4,12.4,7,76.7,1.6,,13,32.6,23.3,62.8,0,,3.7,21.8,13.8,64.3,0,,6.2,31.5,19,60.3,0.1
9,2.8,19.9,12.3,48.4,0,,1.2,15.6,9.9,68.9,0,,12.7,33.8,24.7,59.3,0,,4.7,23,15.3,61.7,0,,9.4,23.8,16.6,55.3,0.3
10,3.3,25.6,16.6,45.8,0.2,,7.4,20.6,13.3,68,1,,17.9,35.8,26.8,52.2,0,,7,26,17.3,59.3,0,,3.8,19.6,11.7,66.4,0.1
11,4.4,19.5,15,35.1,0,,8,25.1,16.3,63.6,4.3,,18.8,33,26.2,54.5,0,,9.4,28.2,19.1,57.5,0,,8.6,20.9,14.2,60.8,0
12,1,17.2,9.9,59.8,3,,10,12.3,11.1,93,8.7,,12,24.7,19.6,44.4,0.2,,9.5,28.8,18.1,64.7,7.3,,10.7,13.6,11.5,90.5,0.9
13,2.6,13.2,8.6,86.8,1.8,,10.2,20,14.2,77.5,1.9,,5.9,24.6,15.5,77.9,9.5,,12.1,27.3,19.3,74,1,,9.7,11.6,10.8,97,45
14,6.2,20.2,13.5,60.9,0,,7.8,22.2,13.9,76.3,2.8,,11.5,22.1,15.7,84.9,1.1,,11.7,23.1,17.4,77.3,0.1,,5.1,21.9,13.7,76,5.9
15,8.5,17.3,12.3,65.6,0.2,,6.7,18.7,13.1,73.5,1.2,,7.9,25,17.3,80.4,0,,8.5,25.6,16.7,75.2,0,,7.7,20.2,13.5,82.4,2.9
16,2.9,13.4,9.1,84.8,6.1,,7.1,15.5,11.5,63.7,0.4,,14.8,30,22.9,68.8,0,,11.8,24.9,18.2,64.7,0,,5.1,23.2,13.5,71.3,0
17,5.2,11.6,7.8,78.1,0.1,,3.4,15.2,9.7,58.9,0.2,,16.7,32.4,24.8,63.5,0,,10.6,24.4,16,84.8,28.3,,3.4,22.9,13.2,76.2,0
18,2.7,11.2,6.3,69.2,0,,0.7,13.4,8,65,0,,15.1,33.5,24.9,62.1,0,,12.8,25.1,18.1,83.8,0,,7.3,21.6,14.7,76.3,0
19,4.2,8.6,6.4,82.5,4.9,,3,17.8,11.6,56,0,,15.7,32.8,23.2,68.4,0,,13.1,30.1,21.6,68.3,0.3,,4.4,19,11.6,68.5,0.2
20,3.6,9.7,5.9,87.1,7.3,,2.3,21.3,13.8,56.5,0,,13.4,29.7,21.5,81,0,,12.1,27.5,19.6,68.6,3.6,,3.5,16.6,10.4,72.8,0
21,1.6,13.2,7.8,76.7,0.3,,6.6,23.1,15.5,60.3,0,,13.2,31.8,23,76,0,,8.4,25.5,17,71.9,4.4,,4.3,15.6,9.4,78.7,0
22,4.3,12.6,8.3,80.1,1.9,,5.7,24.2,16.8,59.5,0,,15.7,28.9,22.5,76,0,,10.6,18.8,14.9,80.6,3.5,,6.6,21.8,12.9,70.6,1.9
23,5,12.4,8,79.7,7.6,,12.8,27.5,19.4,60.6,1.7,,16.8,26.7,21.7,80.3,0,,9.2,25.9,17.6,71.1,0,,7.8,20.2,13.1,81.4,0.2
24,4.3,12.8,8.2,84.3,0,,10.7,21.1,15.8,64.8,0.1,,18.4,23.3,20.7,86.6,0,,13,25.2,19.4,61.6,4.9,,8,25.7,17,62.5,0
25,4.2,16.1,10.3,75.6,0,,10.9,20.5,14.6,81.4,6.3,,10.9,24,18.1,82.5,0,,9.4,20.8,14.5,75.5,0.5,,11.9,29.7,19.2,62.6,0
26,2.8,19.7,12.5,62.8,0,,8.4,22.8,16.3,73.4,0,,10.8,19.1,14.1,77.8,4.6,,7.6,26.4,17.1,60.1,0,,5.9,20.6,12.3,66.3,0.3
27,7.8,21.7,15.4,64,0,,13.8,18.5,16.1,74,0.1,,12.1,20.9,15.2,84.5,5.1,,12.3,27.6,19.3,52.2,0.4,,3.9,22.8,12.3,58.6,0.1
28,8.3,25.4,17.6,51.8,0,,8.3,19.8,15.6,53,0.2,,9.4,28.1,18.6,71.3,0,,12.4,16.4,14.1,95.6,10.4,,2.4,16.8,9.8,56.4,0
29,9,20.7,16,57.7,1.7,,4.5,23.1,15.8,60.9,0,,8.4,29.9,19.9,65.8,0.2,,8.2,23.7,16.2,69.7,0,,5.8,13.3,9.1,73.7,8.9
30,6.8,14.6,9.3,78.4,2.6,,10,22.8,17.2,64.5,0,,10.9,25.6,18.8,74.7,1.7,,7.3,22.5,15.1,69.6,0.1,,1.7,12,6.2,74.2,2.7
31,6.8,16.2,11.6,53.5,0,,,,,,42.3,,14.3,29.7,21.4,64.7,0,,7.2,23.6,15.5,65.8,0,,,,,,76.8
,,,,,88.5,,,,,,,,,,,,,,,,,,82.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,289.8,,,,,,,,,,,,,,,,,,,,,,,
